km_driven,owner,engine,max_power,seats,car_age,log_price,mileage_per_cc,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual
145500,0,1248.0,74.0,5,11,13.017005083966255,0.01875,True,False,False,True,False,True
120000,1,1498.0,103.52,5,11,12.821260987319457,0.014112149532710281,True,False,False,True,False,True
140000,2,1497.0,78.0,5,19,11.970356641102999,0.011823647294589177,False,False,True,True,False,True
127000,0,1396.0,90.0,5,15,12.323860125621126,0.0164756446991404,True,False,False,True,False,True
120000,0,1298.0,88.2,5,18,11.775297421715827,0.012403697996918338,False,False,True,True,False,True
45000,0,1197.0,81.86,5,8,12.994532278619134,0.016825396825396827,False,False,True,True,False,True
175000,0,1061.0,57.5,5,18,11.472113887062386,0.016305372290292178,False,True,False,True,False,True
5000,1,796.0,37.0,4,24,10.714439990727769,0.020226130653266332,False,False,True,True,False,True
90000,0,1364.0,67.1,5,14,12.765691290604371,0.017294721407624634,True,False,False,True,False,True
169000,0,1399.0,68.1,5,12,12.206077645517674,0.014295925661186561,True,False,False,True,False,True
68000,1,1461.0,108.45,5,11,13.122365377402328,0.013011635865845313,True,False,False,True,False,True
100000,1,993.0,60.0,5,20,11.429554725537322,0.01742195367573011,False,False,True,True,False,True
140000,1,1248.0,73.9,5,16,12.54254845357358,0.01546474358974359,True,False,False,True,False,True
90000,1,1061.0,67.0,5,16,12.100717685412471,0.017813383600377,False,False,True,True,False,True
40000,0,1198.0,82.0,5,9,12.899222326086994,0.015150250417362269,False,False,True,True,False,True
70000,1,1248.0,88.5,7,9,13.564483088506746,0.019647435897435898,True,False,False,True,False,True
53000,1,1396.0,90.0,5,13,13.122365377402328,0.0164756446991404,True,False,False,True,False,True
80000,1,796.0,46.3,5,23,11.918397239722838,0.024748743718592963,False,False,True,True,False,True
100000,0,1396.0,88.73,5,9,13.429849547739444,0.01614613180515759,True,False,False,True,False,True
100000,1,1461.0,64.1,5,14,12.066816325306588,0.014373716632443531,True,False,False,True,False,True
50000,0,1498.0,98.6,5,8,13.76421831620775,0.017022696929238985,True,False,False,True,False,True
40000,0,1248.0,74.0,5,10,13.171155446333852,0.021306089743589742,True,False,False,True,False,True
72000,0,1248.0,88.8,5,13,13.304686600863562,0.017227564102564104,True,False,False,True,False,True
35000,0,1199.0,83.81,5,7,13.122365377402328,0.01693077564637198,False,False,True,True,False,True
45000,0,1197.0,83.1,5,9,13.26212705890841,0.017878028404344194,False,False,True,True,False,True
28000,0,796.0,47.3,5,8,12.524530013005734,0.031030150753768842,False,False,True,True,False,True
70000,0,1248.0,73.8,7,12,12.611541086966115,0.014583333333333334,True,False,False,True,False,True
120000,0,1061.0,67.0,5,16,12.301387370778713,0.017813383600377,False,False,True,True,False,True
25000,0,796.0,34.2,8,7,12.449018824140563,0.021105527638190957,False,False,True,True,False,True
70000,0,1248.0,88.5,5,8,13.415034483903348,0.019471153846153846,True,False,False,True,False,True
35000,1,796.0,35.0,5,13,11.918397239722838,0.017587939698492462,False,False,True,True,False,True
